All_Info
"1 July 1965:  C-130A Hercules; Ser # 55-0039, 55-0042; USAF; 817 TCS, 6315 OG; Da Nang (TDY from Naha)"
"1 July 1965:  F-102A Delta Dagger; Ser # 55-3371, 56-1161, 56-1182; USAF; Detachment 3, 509 FIS, 405 FW; Da Nang"
"3 July 1965:  F-105D Thunderchief; Ser # 62-4398; USAF; 563 TFS, 23 TFW attached to 6441 TFW(P); Takhli"
"6 July 1965:  F-105D Thunderchief; Ser # 62-4232; USAF; 12 TFS, 18 TFW attached to 6234 TFW; Korat"
"7 July 1965:  O-1F Bird Dog; Ser # 57-2944; USAF; 19 TASS, 34 TG; Bien Hoa"
14 July 1965:  A-6A Intruder; Ser # 151584; USN; VA-75; USS Independence
15 July 1965:  A-4C Skyhawk; Ser # 149576; USN; VA-153; USS Coral Sea
18 July 1965:  A-6A Intruder; Ser # 151577; USN; VA-75; USS Independence
18 July 1965:  A-4E Skyhawk; Ser # 151089; USN; VA-163; USS Oriskany
"20 July 1965:  F-100D Super Sabre; Ser # 56-3170; USAF; 429 TFS, 474 TFW attached to 6251 TFW; Bien Hoa"
20 July 1965:  RA-5C Vigilante; Ser # 151619; USN; RVAH-1; USS Independence
21 July 1965:  A-1H Skyraider; Ser # 139636; USN; VA-152; USS Oriskany
"21 July 1965:  F-100D Super Sabre; Ser # 56-3334; USAF; 481 TFS, 27 TFW attached to 6250 CSG; Tan Son Nhut"
22 July 1965:  A-1E Skyraider; Ser # 52-132414; USAF; 6251 TFW; Bien Hoa
"22 July 1965:  F-104C Starfighter; Ser # 56-0908; USAF; 436 TFS, 479 TFW attached to 6252 TFW; Da Nang"
"22 July 1965:  O-1F Bird Dog; Ser # 56-4218; USAF; 20 TASS, 6250 TASG; Da Nang"
24 July 1965:  A-6A Intruder; Ser # 151585; USN; VA-75; USS Independence
"24 July 1965:  F-105D Thunderchief; Ser # 62-4373; USAF; 80 TFS, 6441 TFW on TDY; Takhli"
"24 July 1965:  F-4C Phantom; Ser # 63-7599; USAF; 47 TFS, 15 TFW on TDY; Ubon"
"27 July 1965:  F-105D Thunderchief; Ser # 62-4407; USAF; 12 TFS, 18 TFW attached to 6234 TFW; Korat"
"27 July 1965:  F-105D Thunderchief; Ser # 62-4257; USAF; TFS, 23 TFW attached to 6235 TFW; Takhli"
"27 July 1965:  F-105D Thunderchief; Ser # 62-4252; 1; 12 TFS, 18 TFW attached to 6234 TFW; Korat"
"27 July 1965:  F-105D Thunderchief; Ser # 62-4298; USAF; 357 TFS, 355 TFW attached to 6234 TFW; Korat"
"27 July 1965:  F-105D Thunderchief; Ser # 61-0113; USAF; TFS, 23 TFW attached to 6235 TFW; Takhli"
"27 July 1965:  F-105D Thunderchief; Ser # 61-0177; USAF; 357 TFS, 355 TFW attached to 6234 TFW; Korat"
28 July 1965:  A-4E Skyhawk; Ser # 149962; USN; VA-23; USS Midway
28 July 1965:  F-4B Phantom; Ser # 150646; USN; VF-21; USS Midway
29 July 1965:  A-1E Skyraider; Ser # 52-132670; USAF; 6251 TFW; Bien Hoa
29 July 1965:  F-8E Crusader; Ser # 150337; USN; VF-191; USS Bon Homme Richard
"29 July 1965:  RF-101C Voodoo; Ser # 56-0067; USAF; 45 TRS, 39 AD on TDY; Tan Son Nhut"
"31 July 1965:  F-100D Super Sabre; Ser # 55-2837; USAF; 481 TFS, 27 TFW attached to 6250 CSG; Tan Son Nhut"
"31 July 1965:  EF-10B Skyknight; Ser # 125806; USMC; VMCJ-1, MAG-11; Da Nang"
"2 August 1965:  F-105D Thunderchief; Ser # 62-4249; USAF; 12 TFS, 18 TFW attached to 6234 TFW; Korat"
"2 August 1965:  A-1G Skyraider; Ser # 132625; USAF; 1131 SAS, MACVSOG; Da Nang"
3 August 1965:  A-1E Skyraider; Ser # 52-132607; USAF; 6251 TFW; Bien Hoa
3 August 1965:  F-105D Thunderchief; Ser # 61-0098; USAF; 355 TFW attached to 6234 TFW; Korat
"5 August 1965:  RB-57E Canberrar; Ser # 55-4243; USAF; Detachment 1, 6250 CSG; Tan Son Nhut"
"5 August 1965:  O-1F Bird Dog; Ser # 57-2801; USAF; 19 TASS, 6250 TASG; Bien Hoa"
"6 August 1965:  B-57B Canberra; Ser # 53-3919; USAF; 8/13 TBS, 405 FW attached to 6252 TFW; Da Nang"
7 August 1965:  A-1H Skyraider; Ser # 135329; USN; VA-25; USS Midway
"9 August 1965:  F-100D Super Sabre; Ser # 56-3185; USAF; 429 TFS, 474 TFW attached to 6251 TFW; Bien Hoa"
10 August 1965:  A-1J Skyraider; Ser # 142012; USN; VA-152; USS Oriskany
10 August 1965:  F-105D Thunderchief; Ser # 61-0184; USAF; 18 TFW attached to 6234 TFW; Korat
"11 August 1965:  F-105D Thunderchief; Ser # 61-0172; USAF; TFS, 23 TFW attached to 6235 TFW; Takhli"
11 August 1965:  A-4E Skyhawk; Ser # 151185; USN; VA-23; USS Midway
"11 August 1965:  O-1E Bird Dog; Ser # 56-2494; USAF; 19 TASS, 6250 TASG; Bien Hoa"
12 August 1965:  A-4E Skyhawk; Ser # 150067; USN; VA-155; USS Coral Sea
12 August 1965:  F-8D Crusader; Ser # 147911; USN; VF-111; USS Midway
13 August 1965:  A-4C Skyhawk; Ser # 148564; USN; VA-22; USS Midway
"13 August 1965:  RF-101C Voodoo; Ser # 56-0186; USAF; 20 TRS, 363 TRW on TDY; Udorn"
13 August 1965:  A-1H Skyraider; Ser # 139772; USN; VA-165; USS Coral Sea
13 August 1965:  O-1F Bird Dog; Ser # 57-6274; USAF; 6253 CSG; Nha Trang
13 August 1965:  A-4C Skyhawk; Ser # 148475; USN; VA-153; USS Coral Sea
"13 August 1965:  RF-8A Crusader; Ser # 146849; USN; Detachment D, VFP-63; USS Coral Sea"
"22 August 1965:  F-105D Thunderchief; Ser # 62-4235; USAF; 36 TFS, 6441 TFW on TDY; Takhli"
"22 August 1965:  RF-8A Crusader; Ser # 146884; USMC; VMCJ-1, MAG-11; Da Nang"
24 August 1965:  A-4C Skyhawk; Ser # 149490; USN; VA-22; USS Midway
24 August 1965:  F-4B Phantom; Ser # 152215; USN; VF-21; USS Midway
"24 August 1965:  KC-130F Hercules; Ser # 149802; USMC; VMGR-152, MAG-15; Futenma"
26 August 1965:  A-1H Skyraider; Ser # 139720; USN; VA-152; USS Oriskany
